full_name;date_of_birth;course;specialty;number_phone;faculty;gender;group
Данилов Артём Владимирович;15.07.2000;5;Программная инженерия;7 (966) 897-74-82;Факультет Вычислительных Систем;M;235
Фомичев Андрей Лукич ;25.06.2002;3;Менеджмент;7 (908) 459-73-12;Факультет Банковского Дела;M;606
Савина Кира Дмитриевна;10.08.2000;3;Управление системами;7 (942) 984-44-58;Факультет Систем Управления;W;461
Старостина Яна Данииловна;15.02.2004;1;Информационные технологии;7 (937) 443-36-98;Факультет Вычислительных Систем;W;317
Селиванова Полина Максимовна;04.06.2001;3;Управление финансами;7 (977) 438-31-76;Факультет Банковского Дела;W;309
Воробьева Елизавета Артёмовна;11.09.2004;3;Программная инженерия;7 (928) 532-59-59;Факультет Вычислительных Систем;W;496
Филиппова Ева Данииловна;17.04.2000;2;Программная инженерия;7 (962) 577-69-59;Факультет Вычислительных Систем;W;112
Смирнова Антонина Львовна;04.10.2002;2;Информационные технологии;7 (987) 154-14-18;Факультет Вычислительных Систем;W;461
Фролова София Максимовна;17.12.2003;1;Управление системами;7 (914) 659-55-11;Факультет Систем Управления;W;124
Нестеров Виктор Михайлович;03.04.2002;1;Менеджмент;7 (992) 822-92-19;Факультет Банковского Дела;M;486
Панкова Анна Святославовна;21.09.2004;3;Информатика и вычислительная техника;7 (957) 486-27-91;Факультет Вычислительных Систем;W;243
Беляев Руслан Леонидович;03.02.2004;5;Конструирование электронных средств;7 (936) 434-31-98;Факультет Вычислительных Систем;M;739
Рябов Максим Григорьевич;24.09.2001;2;Информатика и вычислительная техника;7 (935) 185-45-92;Факультет Вычислительных Систем;M;161
Петров Александр Иванович;20.12.2004;4;Управление финансами;7 (951) 518-99-45;Факультет Систем Управления;M;566
Васильева Анна Артёмовна;20.08.2003;3;Программная инженерия;7 (938) 213-97-71;Факультет Вычислительных Систем;W;456
